"","X","IDp","IDf","IDm","sex","byear","dyear","cregcode","sregcode","lifespan","afr","lrs","bcohort.20","bcohort.10","predicted_lifespan","is.dyear.known","dyear.predicted","migrantstatus","afr_5thp","afr_median","arryear","depyear","presence_duration"
"9589",30618,"P0000034121","P0000033812","P0000034107","F",1926,NA,"GL03",NA,NA,NA,NA,"(1.91e+03,1.93e+03]","(1.92e+03,1.93e+03]",67.4996582365003,"no:incomplete_lifespan",2011,"emigrant_assumed_to_outside_glarus",19.74996582365,25.5174299384826,1926,1946,20
"9590",30619,"P0000034122","P0000033812","P0000034107","F",1926,NA,"GL03",NA,NA,NA,NA,"(1.91e+03,1.93e+03]","(1.92e+03,1.93e+03]",67.4996582365003,"no:incomplete_lifespan",2011,"emigrant_assumed_to_outside_glarus",19.74996582365,25.5174299384826,1926,1946,20
"9591",30620,"P0000034123",NA,"P0000028303","F",1890,NA,"GL03","GL03",NA,NA,NA,"(1.89e+03,1.91e+03]","(1.89e+03,1.9e+03]",64.0437457279562,"no:dyear_missing",1954.04374572796,"resident_married",19.3837320574163,24.6534518113465,1890,1954,64
"9592",30621,"P0000034124","P0000042292","P0000042360","F",1871,1932,"GL02","GL03",60.3335611756664,20.8448393711552,9,"(1.87e+03,1.89e+03]","(1.87e+03,1.88e+03]",42.3021189336979,"yes",1932,"immigrant",19.1501025290499,24.2802460697198,1892,1932,40
"9593",30622,"P0000034125","P0000033692","P0000034124","F",1892,NA,"GL03","GL11",NA,NA,NA,"(1.89e+03,1.91e+03]","(1.89e+03,1.9e+03]",64.0437457279562,"no:dyear_missing",1956.04374572796,"emigrant",19.3837320574163,24.6534518113465,1892,1917,25
"9594",30623,"P0000034126","P0000033692","P0000034124","M",1895,1976,"GL03","GL03",81.5311004784689,26.6903622693096,5,"(1.89e+03,1.91e+03]","(1.89e+03,1.9e+03]",60.257006151743,"yes",1976,"resident_married",21.9220779220779,27.9234449760766,1895,1976,81
"9595",30624,"P0000034127","P0000033692","P0000034124","F",1896,NA,"GL03","GL16",NA,NA,NA,"(1.89e+03,1.91e+03]","(1.89e+03,1.9e+03]",64.0437457279562,"no:dyear_missing",1960.04374572796,"emigrant",19.3837320574163,24.6534518113465,1896,1921,25
"9596",30625,"P0000034128","P0000033692","P0000034124","F",1897,1898,"GL03",NA,0.0820232399179768,NA,NA,"(1.89e+03,1.91e+03]","(1.89e+03,1.9e+03]",64.0437457279562,"yes",1898,"died_in_childhood",19.3837320574163,24.6534518113465,1897,1898,1
"9597",30626,"P0000034129","P0000033692","P0000034124","M",1899,1969,"GL03","GL03",69.3287764866712,28.73000683527,4,"(1.89e+03,1.91e+03]","(1.9e+03,1.91e+03]",68.3034859876965,"yes",1969,"resident_married",21.9220779220779,27.9234449760766,1899,1969,70
"9598",30627,"P0000034130","P0000033692","P0000034124","F",1900,NA,"GL03","GL17",NA,NA,NA,"(1.89e+03,1.91e+03]","(1.9e+03,1.91e+03]",76.0136705399863,"no:dyear_missing",1976.01367053999,"emigrant",19.3837320574163,24.6534518113465,1900,1925,25
"9599",30628,"P0000034131","P0000033692","P0000034124","M",1907,1985,"GL03","GL03",77.7388926862611,25.7881066302119,5,"(1.89e+03,1.91e+03]","(1.9e+03,1.91e+03]",68.3034859876965,"yes",1985,"resident_married",21.9220779220779,27.9234449760766,1907,1985,78
"9600",30629,"P0000034132","P0000033692","P0000034124","F",1910,NA,"GL03",NA,NA,NA,NA,"(1.91e+03,1.93e+03]","(1.91e+03,1.92e+03]",77.6514012303486,"no:dyear_missing",1987.65140123035,"emigrant_assumed_to_outside_glarus",19.74996582365,25.5174299384826,1910,1930,20
"9601",30630,"P0000034133",NA,NA,"F",1870,1913,NA,"GL03",42.498974709501,22.149008885851,4,"(1.87e+03,1.89e+03]","(1.87e+03,1.88e+03]",42.3021189336979,"yes",1913,"immigrant",19.1501025290499,24.2802460697198,1892,1913,21
"9602",30631,"P0000034134","P0000033568","P0000034133","F",1892,NA,"GL03","GL03",NA,20.7053998632946,NA,"(1.89e+03,1.91e+03]","(1.89e+03,1.9e+03]",64.0437457279562,"no:dyear_missing",1956.04374572796,"resident_married",19.3837320574163,24.6534518113465,1892,1956,64
"9603",30633,"P0000034135","P0000033568","P0000034133","M",1894,1979,"GL03","GL03",84.8940533151059,28.2816131237184,3,"(1.89e+03,1.91e+03]","(1.89e+03,1.9e+03]",60.257006151743,"yes",1979,"resident_married",21.9220779220779,27.9234449760766,1894,1979,85
"9604",30634,"P0000034136","P0000033568","P0000034133","F",1896,1984,"GL03","GL03",87.8632946001367,NA,NA,"(1.89e+03,1.91e+03]","(1.89e+03,1.9e+03]",64.0437457279562,"yes",1984,"resident_married",19.3837320574163,24.6534518113465,1896,1984,88
"9605",30635,"P0000034137","P0000033568","P0000034133","M",1899,1902,"GL03",NA,2.76965140123035,NA,NA,"(1.89e+03,1.91e+03]","(1.9e+03,1.91e+03]",68.3034859876965,"yes",1902,"died_in_childhood",21.9220779220779,27.9234449760766,1899,1902,3
"9606",30636,"P0000034138","P0000033603","P0000033716","M",1894,1894,"GL03",NA,0.00820232399179768,NA,NA,"(1.89e+03,1.91e+03]","(1.89e+03,1.9e+03]",60.257006151743,"yes",1894,"died_in_childhood",21.9220779220779,27.9234449760766,1894,1894,0
"9607",30637,"P0000034139","P0000033603","P0000033716","M",1896,1978,"GL03","GL03",82.107997265892,NA,NA,"(1.89e+03,1.91e+03]","(1.89e+03,1.9e+03]",60.257006151743,"yes",1978,"resident_married",21.9220779220779,27.9234449760766,1896,1978,82
"9608",30638,"P0000034140","P0000033603","P0000033716","F",1903,1992,"GL03","GL03",88.1722488038278,21.8619275461381,4,"(1.89e+03,1.91e+03]","(1.9e+03,1.91e+03]",76.0136705399863,"yes",1992,"resident_married",19.3837320574163,24.6534518113465,1903,1992,89
"9609",30639,"P0000034141",NA,NA,"F",1868,1924,NA,"GL03",55.7758031442242,26.8626110731374,3,"(1.85e+03,1.87e+03]","(1.86e+03,1.87e+03]",36.6684894053315,"yes",1924,"immigrant",19.298017771702,23.6418318523582,1895,1924,29
"9610",30640,"P0000034142","P0000033749","P0000034141","F",1895,1975,"GL03",NA,79.7484620642515,NA,NA,"(1.89e+03,1.91e+03]","(1.89e+03,1.9e+03]",64.0437457279562,"yes",1975,"resident_assumed_unmarried",19.3837320574163,24.6534518113465,1895,1975,80
"9611",30641,"P0000034143","P0000033749","P0000034141","M",1898,1951,"GL03",NA,52.9678742310321,NA,NA,"(1.89e+03,1.91e+03]","(1.89e+03,1.9e+03]",60.257006151743,"yes",1951,"resident_assumed_unmarried",21.9220779220779,27.9234449760766,1898,1951,53
"9612",30642,"P0000034144","P0000033749","P0000034141","M",1901,1902,"GL03",NA,0.396445659603554,NA,NA,"(1.89e+03,1.91e+03]","(1.9e+03,1.91e+03]",68.3034859876965,"yes",1902,"died_in_childhood",21.9220779220779,27.9234449760766,1901,1902,1
"9613",30643,"P0000034145",NA,NA,"F",1871,1927,"GL17","GL03",55.8086124401914,21.0362269309638,3,"(1.87e+03,1.89e+03]","(1.87e+03,1.88e+03]",42.3021189336979,"yes",1927,"immigrant",19.1501025290499,24.2802460697198,1892,1927,35
"9614",30644,"P0000034146","P0000033816","P0000034145","M",1892,1935,"GL03","GL03",42.8544087491456,33.0362269309638,1,"(1.89e+03,1.91e+03]","(1.89e+03,1.9e+03]",60.257006151743,"yes",1935,"resident_married",21.9220779220779,27.9234449760766,1892,1935,43
"9615",30645,"P0000034147","P0000033816","P0000034145","M",1899,1992,"GL03","GL03",92.6780587833219,29.7252221462748,7,"(1.89e+03,1.91e+03]","(1.9e+03,1.91e+03]",68.3034859876965,"yes",1992,"resident_married",21.9220779220779,27.9234449760766,1899,1992,93
"9616",30646,"P0000034148","P0000033816","P0000034145","M",1910,1996,"GL03","GL03",85.9220779220779,25.0963773069036,2,"(1.91e+03,1.93e+03]","(1.91e+03,1.92e+03]",68.9733424470267,"yes",1996,"resident_married",22.4948735475052,28.8557758031442,1910,1996,86
"9617",30647,"P0000034149","P0000038059","P0000031745","F",1874,1917,"GL03","GL03",43.3984962406015,19.1223513328776,4,"(1.87e+03,1.89e+03]","(1.87e+03,1.88e+03]",42.3021189336979,"yes",1917,"resident_married",19.1501025290499,24.2802460697198,1874,1917,43
"9618",30648,"P0000034150","P0000033762","P0000034149","M",1893,1893,"GL03",NA,0.514012303485988,NA,NA,"(1.89e+03,1.91e+03]","(1.89e+03,1.9e+03]",60.257006151743,"yes",1893,"died_in_childhood",21.9220779220779,27.9234449760766,1893,1893,0
"9619",30649,"P0000034151","P0000033762","P0000034149","M",1895,1969,"GL03","GL03",73.9576213260424,25.583048530417,5,"(1.89e+03,1.91e+03]","(1.89e+03,1.9e+03]",60.257006151743,"yes",1969,"resident_married",21.9220779220779,27.9234449760766,1895,1969,74
"9620",30650,"P0000034152","P0000033762","P0000034149","M",1898,1981,"GL03","GL03",82.4688995215311,25.1073137388927,3,"(1.89e+03,1.91e+03]","(1.89e+03,1.9e+03]",60.257006151743,"yes",1981,"resident_married",21.9220779220779,27.9234449760766,1898,1981,83
"9621",30651,"P0000034153","P0000033762","P0000034149","M",1904,1984,"GL03","GL03",79.5898838004101,25.676008202324,4,"(1.89e+03,1.91e+03]","(1.9e+03,1.91e+03]",68.3034859876965,"yes",1984,"resident_married",21.9220779220779,27.9234449760766,1904,1984,80
"9622",30652,"P0000034154","P0000033569","P0000026841","F",1893,NA,"GL03","GL04",NA,NA,NA,"(1.89e+03,1.91e+03]","(1.89e+03,1.9e+03]",64.0437457279562,"no:dyear_missing",1957.04374572796,"emigrant",19.3837320574163,24.6534518113465,1893,1918,25
"9623",30653,"P0000034155",NA,NA,"F",1874,1965,NA,"GL03",90.1572112098428,24.2843472317157,4,"(1.87e+03,1.89e+03]","(1.87e+03,1.88e+03]",42.3021189336979,"yes",1965,"immigrant",19.1501025290499,24.2802460697198,1899,1965,66
"9624",30654,"P0000034156","P0000033921","P0000034155","M",1899,1973,"GL03","GL03",73.8236500341764,NA,NA,"(1.89e+03,1.91e+03]","(1.9e+03,1.91e+03]",68.3034859876965,"yes",1973,"resident_married",21.9220779220779,27.9234449760766,1899,1973,74
